,displayName,defensiveTeam,x_stat,n_stat,a,b,BITE,BITE_LB,BITE_UB,BITE_probs
60,Jeremy Chinn,CAR,18,23,95.75410924,26.76996603,80.9,71.1,84.5,1.2
61,Jabrill Peppers,NE,27,28,98.14182357,29.56689078,80.9,73.8,86.2,5
62,Jordan Poyer,BUF,21,24,96.76867635,27.90262447,80.8,72.4,85.3,2.4
63,Eric Rowe,MIA,27,31,98.33908565,29.8201627,80.8,72.1,84.7,1.4
64,Jaquan Johnson,BUF,24,28,98.15199329,29.57985403,80.5,71.7,84.5,1.2
65,Rodney Thomas,IND,23,25,97.95503509,29.33057104,80.5,72.7,85.4,2.7
66,Kerby Joseph,DET,25,28,98.5823984,30.13799498,80.4,72.1,84.9,1.6
67,Josh Jones,SEA,24,31,98.37601753,29.86801394,80.4,70,83,0.3
68,Justin Evans,NO,22,25,98.08655437,29.49661572,80.3,71.9,84.8,1.5
69,Logan Ryan,TB,9,9,94.4428221,25.40847498,80.3,73,86.7,6.5
70,Kyle Dugger,NE,22,24,98.14182357,29.56689078,80.3,72.4,85.2,2.3
71,Caden Sterns,DEN,21,26,98.00765227,29.39680252,80.2,70.7,83.8,0.6
72,Geno Stone,BAL,22,23,98.3929365,29.88998151,80.1,72.8,85.6,3.1
73,Tashaun Gipson,SF,27,27,99.61048719,31.55363259,80.1,73.5,85.9,3.9
74,Kyle Hamilton,BAL,21,24,98.3929365,29.88998151,80,71.6,84.5,1.2
75,Joshua Kalu,TEN,18,21,97.92397643,29.29159919,79.8,71.2,84.5,1.1
76,Tre Norwood,PIT,18,24,97.93159829,29.30115455,79.8,69.6,83,0.3
77,Tracy Walker,DET,17,18,97.70422206,29.01842018,79.8,72.3,85.4,2.7
78,Brandon Jones,MIA,47,53,103.578487,38.7430982,79.5,71,82.7,0.1
79,Xavier McKinney,NYG,37,40,102.222675,35.86172534,79.5,71.8,83.9,0.6
80,Rudy Ford,GB,14,14,97.52318397,28.79666639,79.5,72.4,85.7,3.4
81,Juston Burris,CAR,17,21,98.41849882,29.92322705,79.4,70.3,83.6,0.5
82,Brandon Stephens,BAL,15,17,98.21161389,29.65605596,79.2,71.1,84.5,1.2
83,Dane Belton,NYG,16,18,98.77411914,30.39282665,79.1,71,84.3,1
84,Israel Mukuamu,DAL,11,11,97.46894538,28.73079497,79.1,71.9,85.4,2.7
85,Juju Hughes,DET,15,18,98.5823984,30.13799498,79,70.3,83.8,0.6
86,Bryan Cook,KC,12,14,98.05720596,29.45941935,78.9,70.6,84.2,0.9
87,Alohi Gilman,LAC,13,15,98.59388991,30.15315851,78.7,70.5,84,0.8
88,Josh Metellus,MIN,13,14,98.61813418,30.18519573,78.7,71.1,84.5,1.2
89,Nasir Adderley,LAC,29,31,102.1009201,35.63052639,78.6,71.1,83.6,0.5
90,Terrell Burgess,LA,12,13,98.563656,30.11329353,78.6,70.9,84.4,1.1
91,M.J. Stewart,HOU,9,10,98.09689013,29.50973515,78.4,70.5,84.3,1.1
92,Nick Cross,IND,8,10,97.95503509,29.33057104,78.3,69.8,83.8,0.6
93,Justin Bethel,MIA,9,10,98.33908565,29.8201627,78.3,70.4,84.2,0.9
94,Julian Blackmon,IND,7,7,97.95503509,29.33057104,78.2,70.8,84.7,1.5
95,Roderic Teamer,LV,9,10,98.51982009,30.05566437,78.2,70.3,84.1,0.8
96,Tarvarius Moore,SF,4,4,97.28874229,28.51377359,78,70.5,84.7,1.5
97,Dean Marlowe,ATL,8,10,98.64748088,30.22405912,77.9,69.5,83.4,0.4
98,Sean Chandler,CAR,7,7,98.41849882,29.92322705,77.9,70.6,84.4,1.2
99,Ugochukwu Amadi,TEN,5,7,97.92397643,29.29159919,77.8,69.2,83.4,0.5
100,P.J. Locke,DEN,5,5,98.00765227,29.39680252,77.8,70.4,84.4,1.2
101,Micah Hyde,BUF,7,8,98.77335351,30.39180108,77.7,69.8,83.7,0.6
102,Jamal Adams,SEA,3,3,97.65706093,28.96036979,77.7,70.1,84.4,1.1
103,Deon Bush,KC,4,4,98.05720596,29.45941935,77.6,70.1,84.3,1
104,K'Von Wallace,PHI,6,6,98.65903462,30.23938479,77.6,70.2,84.2,0.9
105,Will Parks,NYJ,3,3,97.94212718,29.31436338,77.5,70,84.2,1
106,Clayton Fejedelem,MIA,4,4,98.33908565,29.8201627,77.4,70,84.1,0.9
