"","displayName","defensiveTeam","x_stat","n_stat","a","b","BITE","BITE_LB","BITE_UB","BITE_probs"
"197","Ben Banogu","IND",2,3,97.8409481510612,29.1878609612423,77.4,69.2,83.6,1.9
"198","Luke Gifford","DAL",1,1,97.5335648421937,28.8093031606898,77.4,69.8,84.2,2.9
"199","Pat O'Connor","TB",1,2,97.5495345848822,28.8287618815778,77.4,69.1,83.6,1.9
"200","Zack Baun","NO",2,3,97.9234602977834,29.290952323572,77.3,69.1,83.6,1.8
"201","Jesse Luketa","ARI",1,2,97.6171440450838,28.9113927170875,77.3,69.1,83.6,1.9
"202","Jake Hansen","HOU",2,3,97.9300334797464,29.2991923296968,77.3,69.1,83.6,1.8
"203","Kevin Pierre-Louis","HOU",2,4,97.9300334797464,29.2991923296968,77.3,68.5,83,1.2
"204","A.J. Epenesa","BUF",2,7,97.9651049990888,29.3432261334802,77.3,66.8,81.4,0.3
"205","Malik Reed","PIT",17,19,101.667882500401,34.8372464511864,77.3,69.3,82.6,0.8
"206","Milo Eifler","WAS",1,1,97.7974879496881,29.1338158669161,77.2,69.6,84,2.6
"207","William Bradley-King","WAS",1,1,97.7974879496881,29.1338158669161,77.2,69.6,84,2.6
"208","Joshua Onujiogu","SEA",2,2,98.1058310122982,29.5210923753424,77.2,69.7,84,2.5
"209","Jeremiah Attaochu","BAL",2,2,98.1213807541137,29.5408630350292,77.2,69.6,84,2.5
"210","Olasunkanmi Adeniyi","TEN",1,2,97.8202806667933,29.1621380677943,77.2,69,83.5,1.7
"211","Sam Okuayinonu","TEN",1,1,97.8202806667933,29.1621380677943,77.2,69.6,84,2.6
"212","Wyatt Ray","TEN",1,1,97.8202806667933,29.1621380677943,77.2,69.6,84,2.6
"213","Ryan Anderson","PIT",1,1,97.8251089436382,29.1681438352397,77.2,69.6,84,2.6
"214","Amare Barno","CAR",2,2,98.1354023806884,29.5587109470318,77.2,69.6,84,2.5
"215","Azeez Ojulari","NYG",2,3,98.1355516980229,29.5589011138623,77.2,69,83.4,1.6
"216","Bryce Huff","NYJ",1,1,97.8298374369778,29.1740275745854,77.2,69.6,84,2.6
"217","Dean Lowry","GB",27,28,103.485500880444,38.5237995978296,77.2,70.1,82.8,0.8
"218","Jonathan Kongbo","DEN",1,1,97.8721622594422,29.2267853987703,77.2,69.6,84,2.5
"219","Ladarius Hamilton","GB",0,1,97.5672065643742,28.8503210124877,77.2,68.9,83.5,1.7
"220","Luke Masterson","LV",2,2,98.2032059031448,29.6452883967877,77.2,69.6,83.9,2.4
"221","K'Lavon Chaisson","JAX",2,3,98.2112471718009,29.6555861799797,77.2,69,83.4,1.6
"222","Quinton Bell","ATL",2,2,98.2826446676378,29.7473003159722,77.1,69.6,83.9,2.4
"223","Dawuane Smoot","JAX",5,8,99.1784909592751,30.9436891792938,77.1,67.9,82.2,0.6
"224","Bradley Chubb","MIA",1,2,98.0867322124055,29.4968413771877,77.1,68.8,83.3,1.5
"225","Arron Mosby","CAR",1,1,98.1354023806884,29.5587109470318,77,69.4,83.9,2.3
"226","De'Shaan Dixon","JAX",1,1,98.2112471718009,29.6555861799797,77,69.4,83.8,2.2
"227","Elijah Lee","KC",0,1,97.9061135166315,29.2692262539105,77,68.7,83.3,1.5
"228","Takkarist McKinley","LA",1,1,98.2256953608287,29.6741048348994,77,69.4,83.8,2.2
"229","Tony Fields","CLE",1,1,98.3111870892438,29.7841070580948,76.9,69.3,83.8,2.1
"230","Elerson Smith","NYG",1,2,98.3680067930163,29.8576229808845,76.9,68.7,83.2,1.3
"231","Quincy Roche","NYG",1,1,98.3680067930163,29.8576229808845,76.9,69.3,83.7,2
"232","Keir Thomas","LA",0,1,98.2256953608287,29.6741048348994,76.8,68.5,83.1,1.3
"233","Andrew Van Ginkel","MIA",14,17,101.75326640824,34.9902536660746,76.8,68.2,81.8,0.3
"234","Charles Harris","DET",12,12,101.450589016986,34.4549170246368,76.7,69.6,83.1,1.2
"235","Jeremiah Owusu-Koramoah","CLE",40,48,105.724510304285,45.6631153454306,76.1,66.7,79,0
"236","Steven Means","BAL",2,2,100.193489615702,32.4155407580212,75.9,68.4,82.7,0.9
"237","Jason Pierre-Paul","BAL",6,7,101.886167409432,35.2316653658782,75.4,67.5,81.6,0.3
"238","Cory Littleton","CAR",26,30,105.207060643261,43.4855850658814,75.1,66.7,79.6,0
"239","Calais Campbell","BAL",18,22,104.389664272274,40.8481294978462,75,66.2,79.6,0
"240","Willie Gay","KC",28,34,105.489888884909,44.6031073808676,75,65.9,78.7,0
"241","Leonard Floyd","LA",31,33,105.836858505811,46.2302907442234,74.7,67.4,80,0
"242","Kyron Johnson","PHI",1,1,102.068324135064,35.5692644713101,74.3,66.8,81.2,0.2
"243","Rasheem Green","HOU",17,19,104.951798669779,42.5842761375779,74.1,66.3,79.7,0
"244","Morgan Fox","LAC",8,8,104.093982718542,40.0361471994393,73.7,66.4,80.3,0.1
"245","Frank Clark","KC",12,17,104.962751079368,42.6212383170766,73.3,63.9,77.7,0
"246","Adetokunbo Ogundeji","ATL",15,22,105.426145170997,44.3380984364007,73.1,63.1,76.7,0
"247","Justin Houston","BAL",4,5,106.390701840057,50.3955956084482,68.7,60.9,75.2,0
"248","Michael Brockers","DET",4,4,106.441427476711,51.147179436861,68.3,61,75.3,0
"249","Genard Avery","TB",1,2,106.465844270258,51.6198032825494,67.6,59.7,74.2,0
"250","Jerry Hughes","HOU",11,18,101.630265197784,73.5943299708092,60.5,51.3,65.1,0
