"","displayName","defensiveTeam","x_stat","n_stat","a","b","BITE","BITE_LB","BITE_UB","BITE_probs"
"56","Mike Pennel","CHI",11,12,102.602154735088,36.6078334390045,75.6,68,81.7,18.7
"57","Daron Payne","WAS",30,34,105.232712703433,43.5812244529371,75.6,67.4,80.1,8.9
"58","Jordan Davis","PHI",15,15,103.36656693593,38.2487738826429,75.6,68.6,82,22
"59","Christian Barmore","NE",12,12,102.889158990053,37.200378112903,75.5,68.4,82,22
"60","DeShawn Williams","DEN",12,13,102.911990900478,37.248656707754,75.5,67.9,81.5,17.8
"61","Leonard Williams","NYG",18,18,103.898379086733,39.5289051411063,75.5,68.6,81.8,21.1
"62","Solomon Thomas","NYJ",12,12,102.927926250928,37.2824563392371,75.5,68.4,82,21.7
"63","Larry Ogunjobi","PIT",18,21,103.922148298638,39.5893898280527,75.5,67.2,80.5,10.8
"64","D.J. Reader","CIN",9,9,102.388224616753,36.1823049397549,75.5,68.3,82.1,21.9
"65","Quinton Bohanna","DAL",9,10,102.399138334928,36.2036995608228,75.5,67.7,81.6,17.7
"66","Kentavius Street","NO",11,12,102.909121836083,37.2425803912562,75.4,67.7,81.4,16.7
"67","Nathan Shepherd","NYJ",11,14,102.927926250928,37.2824563392371,75.3,66.7,80.5,10.4
"68","Jordan Elliott","CLE",13,16,103.392201746568,38.3075490118439,75.2,66.7,80.3,9.7
"69","Otito Ogbonnia","LAC",12,16,103.252728473912,37.9909885362276,75.2,66.1,79.9,7.4
"70","Trysten Hill","DAL",7,7,102.399138334928,36.2036995608228,75.1,67.8,81.8,19.3
"71","Akeem Spence","SF",6,8,102.247348779082,35.9090427743878,75.1,66.7,80.8,12
"72","Justin Ellis","NYG",12,14,103.394980517787,38.3139365190453,75.1,67,80.7,11.5
"73","Corey Peters","JAX",6,6,102.306679190594,36.0234785882373,75,67.7,81.7,18.6
"74","Alim McNeill","DET",11,15,103.306237227369,38.1115118800044,75,65.9,79.7,6.6
"75","Devonte Wyatt","GB",6,6,102.37703672071,36.1604069178154,75,67.6,81.7,18.2
"76","Tyson Alualu","PIT",8,9,102.782711025767,36.977562498581,75,67.2,81.1,14.2
"77","Marquise Copeland","LA",11,11,103.355732540322,38.2240144019319,74.9,67.8,81.5,17.2
"78","Taven Bryan","CLE",11,13,103.392201746568,38.3075490118439,74.9,66.8,80.5,10.7
"79","Travis Jones","BAL",9,9,103.092280711236,37.6361899613879,74.9,67.6,81.5,16.9
"80","Thomas Booker","HOU",8,10,102.917515559055,37.2603650523317,74.9,66.6,80.5,10.6
"81","John Ridgeway","WAS",7,8,102.746935308231,36.903498525836,74.8,67,81,13.5
"82","Akiem Hicks","TB",5,5,102.353462306158,36.1143771557775,74.8,67.4,81.6,17.1
"83","Montravius Adams","PIT",7,7,102.782711025767,36.977562498581,74.8,67.5,81.5,16.7
"84","Marquan McCall","CAR",9,9,103.176252499317,37.8206671913905,74.8,67.6,81.4,16.3
"85","Marlon Tuipulotu","PHI",10,11,103.36656693593,38.2487738826429,74.8,67.1,80.9,12.8
"86","Tershawn Wharton","KC",7,8,102.820076116249,37.0553539276585,74.8,66.9,81,13
"87","Kendal Vickers","LV",9,11,103.193810864738,37.8595739924487,74.8,66.5,80.4,10
"88","Arik Armstead","SF",4,4,102.247348779082,35.9090427743878,74.7,67.3,81.5,16.6
"89","John Jenkins","MIA",8,8,103.048963520158,37.5420348051497,74.7,67.5,81.4,16
"90","Malcolm Roach","NO",7,11,102.909121836083,37.2425803912562,74.7,65.4,79.5,5.7
"91","Kurt Hinish","HOU",7,7,102.917515559055,37.2603650523317,74.7,67.4,81.4,15.8
"92","Milton Williams","PHI",9,9,103.36656693593,38.2487738826429,74.6,67.4,81.2,15
"93","Michael Pierce","BAL",7,7,103.092280711236,37.6361899613879,74.5,67.2,81.2,14.7
"94","Byron Cowart","IND",5,5,102.736245172311,36.8814460540591,74.5,67.1,81.2,14.8
"95","Tim Settle","BUF",6,8,102.962183839106,37.3554106081297,74.5,66.1,80.2,8.8
"96","James Lynch","MIN",8,9,103.334405211391,38.1754159229633,74.5,66.7,80.6,11.1
"97","Timmy Horne","ATL",8,9,103.357490133128,38.2280276983871,74.4,66.7,80.6,11
"98","Christian Covington","LAC",7,8,103.252728473912,37.9909885362276,74.4,66.6,80.6,10.7
"99","Jerry Tillery","LAC",7,10,103.252728473912,37.9909885362276,74.4,65.6,79.7,6.3
"100","Carl Davis","NE",5,7,102.889158990053,37.200378112903,74.4,65.9,80.2,8.4
"101","Daniel Ekuale","NE",5,6,102.889158990053,37.200378112903,74.4,66.5,80.6,10.9
"102","Josh Paschal","DET",7,7,103.306237227369,38.1115118800044,74.3,67,81,13.3
"103","Mario Edwards","TEN",4,4,102.776465902958,36.9646043305765,74.3,66.9,81.1,13.5
"104","Anthony Rush","ATL",7,7,103.357490133128,38.2280276983871,74.3,67,81,13
"105","Bravvion Roy","CAR",6,6,103.176252499317,37.8206671913905,74.3,66.9,81,13.2
