"","displayName","defensiveTeam","x_stat","n_stat","a","b","BITE","BITE_LB","BITE_UB","BITE_probs"
"81","Sam Eguavoen","MIA",3,3,100.811638804193,33.3843616556936,75.7,68.2,82.4,0.4
"82","Channing Tindall","MIA",2,4,100.811638804193,33.3843616556936,75.5,66.8,81.3,0.1
"83","Christian Jones","SEA",2,3,100.9389812633,33.5917509181368,75.4,67.3,81.7,0.2
"84","Kristian Welch","BAL",1,1,100.872347742934,33.4828799779151,75.3,67.7,82.1,0.3
"85","Nick Bellore","SEA",1,1,100.9389812633,33.5917509181368,75.2,67.6,82.1,0.3
"86","Patrick Johnson","PHI",2,3,101.212803200212,34.0475460010368,75.2,67.1,81.5,0.1
"87","Jordan Kunaszyk","CLE",2,2,101.249199898208,34.1091836743178,75.2,67.6,82,0.2
"88","Damien Wilson","CAR",26,30,105.179099075594,43.3824770667878,75.1,66.8,79.7,0
"89","Chad Muma","JAX",1,2,101.075986119342,33.8180841346764,75.1,67,81.5,0.1
"90","Troy Reeder","LAC",1,1,101.097719758654,33.8543016854798,75.1,67.5,82,0.2
"91","Brian Asamoah","MIN",1,1,101.167172137337,33.9706262929546,75,67.5,81.9,0.2
"92","Troy Dye","MIN",1,1,101.167172137337,33.9706262929546,75,67.5,81.9,0.2
"93","Brandon Smith","CAR",0,1,100.943295947217,33.5988275176457,75,66.8,81.4,0.1
"94","Nate Landman","ATL",1,1,101.199921370438,34.0257912841562,75,67.4,81.9,0.2
"95","Elandon Roberts","MIA",49,58,106.494343707249,52.427984594338,74.8,65.5,77.5,0
"96","Baron Browning","DEN",10,10,104.093982718542,40.0361471994393,74,66.8,80.6,0
"97","Zach Cunningham","TEN",21,24,106.336964617306,49.7671315885709,71.9,63.9,77.1,0
